100,17247
100,17247
101,17315
101,17315
102,17222
102,17222
103,17039
103,17039
104,17255
104,17255
105,17111
105,17111
106,17060
106,17060
107,17249
107,17249
108,17231
108,17231
109,17168
109,17168
110,17252
110,17252
111,17282
111,17282
112,17318
112,17318
113,17129
113,17129
114,17273
114,17273
115,17285
115,17285
116,17243
116,17243
117,17087
117,17087
118,17183
118,17183
119,17069
119,17069
120,17147
120,17147
121,17210
121,17210
122,17228
122,17228
123,17225
123,17225
124,17075
124,17075
125,17120
125,17120
126,17096
126,17096
127,17081
127,17081
128,17270
128,17270
129,17105
129,17105
130,17198
130,17198
131,17018
131,17018
132,17030
132,17030
133,17306
133,17306
134,17126
134,17126
135,17045
135,17045
136,17177
136,17177
137,17159
137,17159
138,17261
138,17261
139,17324
139,17324
140,17165
140,17165
141,17309
141,17309
142,17189
142,17189
143,17195
143,17195
144,17063
144,17063
145,17267
145,17267
146,17330
146,17330
147,17138
147,17138
148,17162
148,17162
149,17114
149,17114
151,17048
151,17048
152,17186
152,17186
153,17108
153,17108
154,17072
154,17072
155,17057
155,17057
156,17135
156,17135
157,17180
157,17180
158,17171
158,17171
159,17294
159,17294
160,17102
160,17102
161,17093
161,17093
162,17090
162,17090
163,17279
163,17279
164,17036
164,17036
165,17240
165,17240
166,17276
166,17276
167,17132
167,17132
168,17117
168,17117
169,17204
169,17204
170,17327
170,17327
171,17078
171,17078
172,17201
172,17201
173,17174
173,17174
174,17258
174,17258
175,17234
175,17234
176,17066
176,17066
177,17207
177,17207
178,17084
178,17084
179,17336
179,17336
180,17027
180,17027
181,17237
181,17237
182,17264
182,17264
183,17288
183,17288
184,17024
184,17024
185,17042
185,17042
186,17303
186,17303
187,17141
187,17141
188,17312
188,17312
189,17123
189,17123
190,17216
190,17216
191,17291
191,17291
192,17300
192,17300
193,17099
193,17099
194,17054
194,17054
195,17192
195,17192
196,17156
196,17156
197,17219
197,17219
198,17150
198,17150
199,17051
199,17051
200,17213
200,17213
257,17021
257,17021
257,17033
257,17033
257,17144
257,17144
257,17153
257,17153
257,17297
257,17297
257,17321
257,17321
257,17333
257,17333
